Rk,Player,Pos,Age,Tm,G,MP,FG%,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,-9999
38,Nicolas Batum,PF,33,LAC,59,1462,.463,.302,.121,.044,.057,.080,.698,.607,.809,.412,.636,.387,.400,batumni01
39,Kent Bazemore,SF,32,LAL,39,545,.324,.424,.173,.094,.058,.101,.576,.271,.333,.308,.125,.214,.363,bazemke01
40,Darius Bazley,PF,21,OKC,69,1924,.422,.586,.307,.251,.011,.017,.414,.511,.613,.405,.571,.182,.297,bazleda01
41,Bradley Beal,SG,28,WAS,40,1439,.451,.728,.197,.252,.171,.108,.272,.508,.697,.407,.470,.458,.300,bealbr01
42,Malik Beasley,SG,25,MIN,79,1976,.391,.251,.088,.066,.052,.045,.749,.432,.587,.357,.341,.342,.377,beaslma01
43,Jordan Bell,C,27,CHI,1,2,,,,,,,,,,,,,,belljo01
44,DeAndre' Bembry,SF,27,TOT,56,1026,.561,.837,.584,.249,.000,.005,.163,.589,.667,.418,,.000,.417,bembrde01
44,DeAndre' Bembry,SF,27,BRK,48,949,.568,.831,.573,.258,.000,.000,.169,.599,.680,.418,,,.417,bembrde01
44,DeAndre' Bembry,SF,27,MIL,8,77,.375,1.000,.875,.000,.000,.125,.000,.375,.429,,,.000,,bembrde01
45,Dāvis Bertāns,PF,29,TOT,56,807,.360,.164,.065,.069,.015,.015,.836,.489,.611,.421,.000,.750,.335,bertada01
45,Dāvis Bertāns,PF,29,WAS,34,501,.351,.158,.053,.064,.023,.018,.842,.519,.667,.545,.000,.667,.319,bertada01
45,Dāvis Bertāns,PF,29,DAL,22,306,.375,.173,.087,.077,.000,.010,.827,.444,.556,.250,,1.000,.360,bertada01
46,Patrick Beverley,PG,33,MIN,58,1476,.406,.445,.170,.206,.050,.018,.555,.485,.568,.433,.545,.125,.343,beverpa01
47,Saddiq Bey,SF,22,DET,82,2704,.396,.463,.166,.157,.072,.068,.537,.454,.619,.348,.329,.429,.346,beysa01
48,Khem Birch,C,29,TOR,55,991,.485,.930,.405,.360,.160,.005,.070,.522,.593,.500,.406,.000,.000,birchkh01
49,Goga Bitadze,C,22,IND,50,729,.520,.683,.468,.175,.032,.008,.317,.628,.737,.409,.375,.000,.288,bitadgo01
50,Bismack Biyombo,C,29,PHO,36,506,.593,1.000,.517,.393,.083,.007,.000,.593,.747,.474,.250,.000,,biyombi01
51,Nemanja Bjelica,C,33,GSW,71,1142,.468,.564,.260,.260,.023,.020,.436,.549,.674,.438,.500,.429,.362,bjeline01
52,Eric Bledsoe,PG,32,LAC,54,1361,.421,.652,.231,.194,.107,.120,.348,.479,.611,.462,.440,.286,.313,bledser01
53,Keljin Blevins,SF,26,POR,31,349,.306,.351,.207,.063,.027,.054,.649,.333,.391,.286,.000,.333,.292,blevike01
54,Bogdan Bogdanovic,SG,29,ATL,63,1848,.431,.422,.113,.115,.108,.086,.578,.516,.622,.440,.523,.471,.368,bogdabo01
55,Bojan Bogdanovic,PF,32,UTA,69,2131,.455,.496,.147,.250,.084,.015,.504,.524,.684,.483,.410,.286,.387,bogdabo02
56,Bol Bol,PF,22,DEN,14,81,.556,.852,.296,.185,.296,.074,.148,.609,.875,.800,.375,.000,.250,bolbo01
57,Leandro Bolmaro,SF,21,MIN,35,241,.315,.667,.352,.111,.074,.130,.333,.333,.474,.167,.500,.000,.278,bolmale01
58,Isaac Bonga,SF,22,TOR,15,69,.231,.692,.385,.231,.000,.077,.308,.222,.200,.333,,.000,.250,bongais01
59,Devin Booker,SG,25,PHO,68,2345,.466,.664,.110,.158,.224,.171,.336,.508,.694,.476,.469,.469,.383,bookede01
