Rk,Player,Pos,Age,Tm,G,MP,FG%,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,-9999
157,Carsen Edwards,SG,23,DET,4,79,.300,.467,.233,.067,.100,.067,.533,.357,.286,.000,.333,1.000,.250,edwarca01
158,Kessler Edwards,SF,21,BRK,48,987,.412,.491,.266,.116,.071,.037,.509,.473,.493,.387,.526,.500,.353,edwarke02
159,Rob Edwards,SG,25,OKC,2,11,.250,.000,.000,.000,.000,.000,1.000,,,,,,.250,edwarro01
160,CJ Elleby,SF,21,POR,58,1174,.393,.591,.312,.169,.075,.036,.409,.462,.615,.231,.478,.182,.294,ellebcj01
161,Wayne Ellington,SG,34,LAL,43,810,.414,.110,.042,.025,.030,.013,.890,.615,.800,.667,.429,.333,.389,ellinwa01
162,Joel Embiid,C,27,PHI,68,2297,.499,.812,.253,.194,.240,.124,.188,.529,.763,.409,.431,.428,.371,embiijo01
163,James Ennis III,SF,31,TOT,7,56,.458,.667,.542,.083,.000,.042,.333,.500,.538,.500,,.000,.375,ennisja01
163,James Ennis III,SF,31,BRK,2,14,.286,.714,.714,.000,.000,.000,.286,.200,.200,,,,.500,ennisja01
163,James Ennis III,SF,31,LAC,2,28,.636,.636,.455,.091,.000,.091,.364,.714,1.000,.000,,.000,.500,ennisja01
163,James Ennis III,SF,31,DEN,3,14,.333,.667,.500,.167,.000,.000,.333,.500,.333,1.000,,,.000,ennisja01
164,Drew Eubanks,C,24,TOT,71,1245,.596,.938,.442,.364,.094,.038,.062,.621,.683,.563,.657,.357,.217,eubandr01
164,Drew Eubanks,C,24,SAS,49,595,.528,.950,.453,.384,.069,.044,.050,.550,.597,.541,.455,.286,.125,eubandr01
164,Drew Eubanks,C,24,POR,22,650,.646,.929,.434,.349,.113,.033,.071,.675,.750,.581,.750,.429,.267,eubandr01
165,Tacko Fall,C,26,CLE,11,59,.417,1.000,.667,.333,.000,.000,.000,.417,.625,.000,,,,fallta01
166,Derrick Favors,C,30,OKC,39,653,.516,.912,.341,.165,.231,.176,.088,.554,.694,.433,.548,.406,.125,favorde01
167,Bruno Fernando,C,23,TOT,30,152,.655,.964,.618,.291,.036,.018,.036,.660,.676,.625,.500,1.000,.500,fernabr01
167,Bruno Fernando,C,23,BOS,20,58,.500,.929,.643,.071,.143,.071,.071,.462,.444,.000,.500,1.000,1.000,fernabr01
167,Bruno Fernando,C,23,HOU,10,94,.707,.976,.610,.366,.000,.000,.024,.725,.760,.667,,,.000,fernabr01
168,Dorian Finney-Smith,PF,28,DAL,80,2644,.471,.371,.233,.098,.025,.016,.629,.599,.752,.324,.471,.273,.395,finnedo01
169,Malik Fitts,PF,24,TOT,15,63,.421,.474,.211,.158,.053,.053,.526,.333,.750,.000,.000,.000,.500,fittsma01
169,Malik Fitts,PF,24,UTA,7,35,.222,.556,.111,.222,.111,.111,.444,.000,.000,.000,.000,.000,.500,fittsma01
169,Malik Fitts,PF,24,BOS,8,28,.600,.400,.300,.100,.000,.000,.600,.750,1.000,.000,,,.500,fittsma01
170,Malachi Flynn,PG,23,TOR,44,537,.393,.508,.120,.153,.077,.158,.492,.452,.545,.464,.571,.310,.333,flynnma01
171,Bryn Forbes,SG,28,TOT,75,1286,.429,.453,.043,.137,.109,.163,.547,.447,.609,.432,.525,.364,.414,forbebr01
171,Bryn Forbes,SG,28,SAS,40,676,.432,.490,.054,.132,.155,.149,.510,.448,.688,.359,.478,.409,.417,forbebr01
171,Bryn Forbes,SG,28,DEN,35,610,.424,.407,.029,.144,.053,.181,.593,.444,.429,.514,.692,.318,.410,forbebr01
172,Aleem Ford,SF,24,ORL,5,74,.300,.250,.150,.100,.000,.000,.750,.800,1.000,.500,,,.133,fordal03
173,Trent Forrest,PG,23,UTA,60,765,.490,.826,.316,.439,.058,.013,.174,.555,.592,.529,.556,.500,.185,forretr01
174,Evan Fournier,SG,29,NYK,80,2358,.417,.359,.081,.122,.079,.077,.641,.465,.603,.390,.474,.432,.389,fournev01
175,De'Aaron Fox,PG,24,SAC,59,2083,.473,.772,.199,.267,.189,.117,.228,.524,.714,.466,.451,.453,.297,foxde01
176,Melvin Frazier,SG,25,OKC,3,120,.271,.563,.250,.313,.000,.000,.438,.444,.667,.267,,,.048,frazime01
177,Tim Frazier,PG,31,TOT,12,208,.311,.622,.067,.178,.133,.244,.378,.286,1.000,.250,.167,.182,.353,fraziti01
177,Tim Frazier,PG,31,ORL,10,200,.302,.605,.070,.186,.116,.233,.395,.269,1.000,.250,.200,.100,.353,fraziti01
177,Tim Frazier,PG,31,CLE,2,8,.500,1.000,.000,.000,.500,.500,.000,.500,,,.000,1.000,,fraziti01
178,Enes Freedom,C,29,BOS,35,411,.526,.948,.557,.330,.041,.021,.052,.533,.537,.500,.500,1.000,.400,kanteen01
179,Markelle Fultz,PG,23,ORL,18,360,.474,.903,.229,.309,.211,.154,.097,.500,.775,.389,.459,.370,.235,fultzma01
180,Wenyen Gabriel,PF,24,TOT,26,358,.491,.745,.473,.245,.018,.009,.255,.561,.692,.370,.000,.000,.286,gabriwe01
180,Wenyen Gabriel,PF,24,BRK,1,1,,,,,,,,,,,,,,gabriwe01
180,Wenyen Gabriel,PF,24,LAC,6,46,.385,.615,.385,.231,.000,.000,.385,.375,.400,.333,,,.400,gabriwe01
180,Wenyen Gabriel,PF,24,LAL,19,311,.505,.763,.485,.247,.021,.010,.237,.581,.723,.375,.000,.000,.261,gabriwe01
181,Daniel Gafford,C,23,WAS,72,1444,.693,.998,.657,.304,.022,.012,.002,.695,.837,.448,.333,.000,.000,gaffoda01
182,Danilo Gallinari,PF,33,ATL,66,1672,.434,.508,.119,.089,.151,.149,.492,.485,.718,.377,.467,.382,.381,gallida01
183,Langston Galloway,SG,30,TOT,7,107,.231,.385,.115,.038,.115,.115,.615,.400,.333,.000,.667,.333,.125,gallola01
183,Langston Galloway,SG,30,BRK,4,58,.385,.385,.154,.000,.154,.077,.615,.600,.500,,1.000,.000,.250,gallola01
183,Langston Galloway,SG,30,MIL,3,49,.077,.385,.077,.077,.077,.154,.615,.200,.000,.000,.000,.500,.000,gallola01
184,Darius Garland,PG,22,CLE,68,2430,.462,.613,.195,.183,.137,.097,.387,.512,.607,.451,.497,.456,.383,garlada01
185,Marcus Garrett,SG,23,MIA,12,128,.238,.810,.476,.143,.095,.095,.190,.235,.200,.333,.000,.500,.250,garrema01
186,Usman Garuba,PF,19,HOU,24,239,.432,.545,.500,.023,.023,.000,.455,.583,.636,.000,.000,,.250,garubus01
187,Luka Garza,C,23,DET,32,389,.449,.667,.293,.218,.068,.088,.333,.510,.674,.500,.200,.231,.327,garzalu01
188,Rudy Gay,PF,35,UTA,55,1038,.414,.464,.142,.150,.111,.061,.536,.494,.778,.333,.405,.391,.345,gayru01
189,Paul George,PF,31,LAC,31,1077,.421,.596,.146,.123,.160,.167,.404,.467,.667,.346,.451,.396,.354,georgpa01
190,Taj Gibson,C,36,NYK,52,946,.518,.771,.398,.181,.102,.090,.229,.555,.667,.433,.529,.333,.395,gibsota01
191,Josh Giddey,SF,19,OKC,54,1700,.419,.682,.196,.336,.097,.054,.318,.492,.649,.444,.431,.333,.263,giddejo01
192,Shai Gilgeous-Alexander,PG,23,OKC,56,1942,.453,.718,.220,.320,.131,.047,.282,.514,.662,.445,.442,.490,.300,gilgesh01
193,Anthony Gill,PF,29,WAS,44,463,.569,.761,.294,.450,.018,.000,.239,.578,.625,.551,.500,,.538,gillan01
194,Freddie Gillespie,PF,24,ORL,9,119,.409,.955,.273,.545,.136,.000,.045,.429,.333,.417,.667,,.000,gillefr01
195,Rudy Gobert,C,29,UTA,66,2120,.713,.992,.738,.244,.008,.002,.008,.718,.803,.468,.750,.000,.000,goberru01
196,Brandon Goodwin,PG,26,CLE,36,502,.416,.643,.266,.201,.117,.058,.357,.455,.634,.355,.333,.222,.345,goodwbr01
197,Jordan Goodwin,SG,23,WAS,2,6,.000,.667,.333,.000,.000,.333,.333,.000,.000,,,.000,.000,goodwjo01
198,Aaron Gordon,PF,26,DEN,75,2376,.520,.688,.381,.169,.084,.054,.312,.605,.796,.369,.329,.422,.335,gordoaa01
199,Eric Gordon,SG,33,HOU,57,1669,.475,.466,.238,.200,.021,.007,.534,.548,.679,.416,.333,.500,.412,gordoer01
200,Devonte' Graham,PG,26,NOP,76,2162,.363,.309,.082,.070,.055,.102,.691,.413,.627,.298,.400,.325,.341,grahade01
201,Jerami Grant,PF,27,DET,47,1500,.426,.637,.202,.149,.106,.180,.363,.465,.631,.442,.243,.429,.358,grantje01
202,Hassani Gravett,PG,25,ORL,8,171,.474,.316,.079,.105,.079,.053,.684,.583,.333,.500,1.000,.500,.423,graveha01
203,Danny Green,SF,34,PHI,62,1353,.394,.153,.069,.047,.019,.019,.847,.469,.682,.200,.500,.333,.380,greenda02
204,Draymond Green,PF,31,GSW,46,1329,.525,.790,.315,.377,.058,.039,.210,.586,.716,.557,.267,.300,.296,greendr01
205,Jalen Green,SG,19,HOU,67,2138,.426,.520,.271,.129,.031,.088,.480,.502,.680,.252,.333,.381,.343,greenja05
206,JaMychal Green,PF,31,DEN,67,1085,.486,.621,.391,.156,.034,.040,.379,.621,.734,.392,.273,.692,.266,greenja01
207,Javonte Green,SF,28,CHI,65,1519,.542,.689,.535,.123,.031,.000,.311,.625,.695,.425,.200,,.356,greenja02
208,Jeff Green,PF,35,DEN,75,1849,.524,.682,.342,.233,.078,.030,.318,.620,.790,.496,.415,.188,.315,greenje02
209,Josh Green,SG,21,DAL,67,1039,.508,.695,.328,.227,.098,.043,.305,.573,.786,.397,.400,.273,.359,greenjo02
210,Blake Griffin,C,32,BRK,56,958,.425,.537,.339,.150,.035,.013,.463,.565,.613,.532,.273,.500,.262,griffbl01
211,Quentin Grimes,SG,21,NYK,46,786,.404,.196,.089,.017,.021,.068,.804,.500,.714,.000,.200,.438,.381,grimequ01
212,Kyle Guy,SG,24,MIA,19,186,.400,.385,.108,.169,.031,.077,.615,.480,.857,.091,.500,.800,.350,guyky01
213,Rui Hachimura,PF,23,WAS,42,943,.491,.677,.197,.150,.160,.171,.323,.512,.840,.404,.393,.338,.447,hachiru01
214,Tyrese Haliburton,SG-PG,21,TOT,77,2695,.473,.572,.130,.183,.158,.101,.428,.517,.712,.410,.521,.457,.414,halibty01
214,Tyrese Haliburton,SG,21,SAC,51,1757,.457,.570,.118,.183,.164,.106,.430,.491,.739,.355,.458,.500,.413,halibty01
214,Tyrese Haliburton,PG,21,IND,26,938,.502,.576,.152,.183,.149,.093,.424,.565,.673,.508,.646,.367,.416,halibty01
215,Tyler Hall,SG,24,NYK,1,2,,,,,,,,,,,,,,hallty01
216,R.J. Hampton,SG,20,ORL,64,1402,.383,.600,.217,.304,.044,.035,.400,.405,.525,.360,.200,.313,.350,hamptrj01
217,Tim Hardaway Jr.,SG,29,DAL,42,1245,.394,.426,.094,.092,.098,.142,.574,.473,.680,.429,.404,.413,.336,hardati02
218,James Harden,PG,32,TOT,65,2419,.410,.548,.231,.232,.061,.024,.452,.476,.598,.370,.426,.458,.330,hardeja01
218,James Harden,PG,32,BRK,44,1627,.414,.565,.239,.242,.061,.023,.435,.476,.574,.386,.419,.563,.332,hardeja01
218,James Harden,PG,32,PHI,21,792,.402,.507,.210,.206,.063,.028,.493,.476,.667,.322,.444,.250,.326,hardeja01
219,Maurice Harkless,SF,28,SAC,47,863,.459,.442,.265,.155,.006,.017,.558,.650,.688,.643,.000,.333,.307,harklma01
220,Jared Harper,PG,24,NOP,5,43,.538,.538,.192,.115,.077,.154,.462,.643,.400,1.000,.500,.750,.417,harpeja01
221,Montrezl Harrell,C,28,TOT,71,1641,.645,.969,.582,.274,.079,.034,.031,.658,.771,.533,.409,.316,.235,harremo01
221,Montrezl Harrell,C,28,WAS,46,1117,.645,.961,.517,.319,.089,.037,.039,.660,.788,.541,.471,.357,.267,harremo01
221,Montrezl Harrell,C,28,CHO,25,524,.645,.988,.727,.174,.058,.029,.012,.653,.744,.500,.200,.200,.000,harremo01
222,Gary Harris,SG,27,ORL,61,1730,.434,.454,.145,.152,.051,.107,.546,.494,.675,.464,.429,.322,.384,harriga01
223,Joe Harris,SF,30,BRK,14,423,.452,.290,.113,.105,.048,.024,.710,.417,.429,.385,.500,.333,.466,harrijo01
224,Tobias Harris,PF,29,PHI,73,2543,.482,.731,.250,.282,.156,.043,.269,.525,.699,.444,.428,.386,.367,harrito02
225,Shaquille Harrison,SG,28,BRK,2,23,.333,.667,.500,.167,.000,.000,.333,.500,.667,.000,,,.000,harrish01
226,Josh Hart,SG,26,TOT,54,1791,.504,.626,.399,.134,.060,.033,.374,.601,.705,.434,.382,.421,.343,hartjo01
226,Josh Hart,SG,26,NOP,41,1374,.505,.663,.440,.137,.052,.034,.337,.598,.688,.415,.400,.462,.323,hartjo01
226,Josh Hart,SG,26,POR,13,417,.503,.546,.311,.126,.077,.033,.454,.610,.754,.478,.357,.333,.373,hartjo01
227,Isaiah Hartenstein,C,23,LAC,68,1216,.626,.918,.456,.369,.093,.000,.082,.640,.754,.519,.559,,.467,harteis01
228,Udonis Haslem,C,41,MIA,13,83,.452,.871,.419,.161,.194,.097,.129,.481,.692,.000,.500,.333,.250,hasleud01
229,Sam Hauser,SF,24,BOS,26,158,.460,.120,.100,.020,.000,.000,.880,.667,.800,.000,,,.432,hausesa01
230,Jaxson Hayes,C,21,NOP,70,1398,.616,.857,.540,.259,.040,.018,.143,.660,.777,.485,.375,.286,.351,hayesja02
231,Killian Hayes,PG,20,DET,66,1647,.383,.636,.163,.253,.135,.085,.364,.452,.747,.345,.387,.308,.263,hayeski01
232,Gordon Hayward,SF,31,CHO,49,1564,.459,.643,.214,.173,.157,.099,.357,.496,.682,.327,.381,.574,.391,haywago01
233,Aaron Henry,SF,22,PHI,6,17,.200,.800,.200,.200,.400,.000,.200,.250,1.000,.000,.000,,.000,henryaa01
234,Juancho Hernangómez,PF,26,TOT,40,445,.415,.349,.217,.123,.009,.000,.651,.541,.696,.308,.000,,.348,hernaju01
234,Juancho Hernangómez,PF,26,BOS,18,96,.185,.333,.148,.148,.037,.000,.667,.222,.500,.000,.000,,.167,hernaju01
234,Juancho Hernangómez,PF,26,SAS,5,51,.333,.500,.333,.167,.000,.000,.500,.667,1.000,.000,,,.000,hernaju01
234,Juancho Hernangómez,PF,26,UTA,17,298,.507,.342,.233,.110,.000,.000,.658,.640,.706,.500,,,.438,hernaju01
235,Willy Hernangómez,C,27,NOP,50,839,.520,.963,.563,.352,.043,.006,.037,.527,.630,.391,.357,.000,.333,hernawi01
236,Tyler Herro,SG,22,MIA,66,2151,.447,.609,.137,.193,.156,.123,.391,.477,.688,.407,.446,.391,.399,herroty01
237,Buddy Hield,SG,29,TOT,81,2499,.406,.348,.132,.083,.069,.064,.652,.482,.593,.385,.421,.443,.366,hieldbu01
237,Buddy Hield,SG,29,SAC,55,1574,.382,.286,.114,.063,.052,.056,.714,.419,.582,.205,.306,.436,.368,hieldbu01
237,Buddy Hield,SG,29,IND,26,925,.447,.454,.163,.116,.099,.077,.546,.549,.606,.553,.525,.452,.362,hieldbu01
238,Haywood Highsmith,SF,25,MIA,19,163,.348,.391,.217,.130,.000,.043,.609,.389,.300,.500,,.500,.321,highsha01
239,George Hill,PG,35,MIL,54,1253,.429,.513,.265,.138,.062,.047,.487,.546,.740,.316,.294,.462,.306,hillge01
240,Malcolm Hill,SF-SG,26,TOT,19,212,.462,.308,.115,.115,.019,.058,.692,.688,.667,.667,.000,1.000,.361,hillma01
240,Malcolm Hill,SG,26,ATL,3,46,.625,.375,.125,.000,.125,.125,.625,.667,1.000,,.000,1.000,.600,hillma01
240,Malcolm Hill,SF,26,CHI,16,166,.432,.295,.114,.136,.000,.045,.705,.692,.600,.667,,1.000,.323,hillma01
241,Solomon Hill,SF,30,ATL,13,139,.150,.350,.250,.100,.000,.000,.650,.143,.200,.000,,,.154,hillso01
242,Nate Hinton,SG,22,IND,2,2,.000,1.000,.000,1.000,.000,.000,.000,.000,,.000,,,,hintona01
243,Jaylen Hoard,SF,22,OKC,7,240,.489,.722,.322,.344,.033,.022,.278,.538,.724,.387,.333,.500,.360,hoardja01
244,Aaron Holiday,PG,25,TOT,63,1021,.447,.695,.175,.299,.166,.056,.305,.477,.610,.475,.411,.263,.379,holidaa01
244,Aaron Holiday,PG,25,WAS,41,663,.467,.687,.178,.318,.164,.028,.313,.524,.605,.529,.486,.167,.343,holidaa01
244,Aaron Holiday,PG,25,PHO,22,358,.411,.710,.169,.266,.169,.105,.290,.398,.619,.364,.286,.308,.444,holidaa01
245,Jrue Holiday,PG,31,MIL,67,2207,.501,.664,.222,.246,.124,.071,.336,.547,.651,.464,.542,.515,.411,holidjr01
246,Justin Holiday,SF-SG,32,TOT,74,2057,.394,.272,.104,.048,.044,.076,.728,.467,.594,.344,.483,.360,.367,holidju01
246,Justin Holiday,SF,32,IND,49,1416,.415,.266,.100,.037,.050,.079,.734,.516,.674,.353,.478,.417,.378,holidju01
246,Justin Holiday,SG,32,SAC,25,641,.348,.284,.113,.074,.029,.069,.716,.362,.435,.333,.500,.214,.342,holidju01
247,Richaun Holmes,C,28,SAC,45,1074,.660,.983,.500,.273,.200,.010,.017,.664,.767,.549,.567,.667,.400,holmeri01
248,Rodney Hood,PF-SF,29,TOT,52,709,.369,.420,.089,.096,.102,.134,.580,.424,.857,.267,.438,.238,.330,hoodro01
248,Rodney Hood,PF,29,MIL,39,581,.351,.389,.099,.084,.084,.122,.611,.431,.846,.273,.455,.188,.300,hoodro01
248,Rodney Hood,SF,29,LAC,13,128,.462,.577,.038,.154,.192,.192,.423,.400,1.000,.250,.400,.400,.545,hoodro01
249,Scotty Hopson,SG,32,OKC,1,18,.500,.750,.000,.250,.000,.500,.250,.667,,.000,,1.000,.000,hopsosc01
250,Al Horford,C,35,BOS,69,2005,.467,.534,.170,.243,.069,.053,.466,.582,.784,.507,.538,.333,.336,horfoal01
251,Talen Horton-Tucker,SG,21,LAL,60,1511,.416,.662,.297,.204,.100,.059,.338,.492,.613,.409,.389,.344,.269,hortota01
252,Danuel House Jr.,SF,28,TOT,42,727,.404,.409,.207,.116,.045,.040,.591,.444,.634,.174,.333,.375,.376,houseda01
252,Danuel House Jr.,SF,28,HOU,16,233,.338,.541,.311,.081,.068,.081,.459,.375,.391,.167,.400,.500,.294,houseda01
252,Danuel House Jr.,SF,28,NYK,1,3,.000,.000,.000,.000,.000,.000,1.000,,,,,,.000,houseda01
252,Danuel House Jr.,SF,28,UTA,25,491,.447,.333,.146,.138,.033,.016,.667,.512,.944,.176,.250,.000,.415,houseda01
253,Dwight Howard,C,36,LAL,60,971,.612,.932,.630,.251,.037,.014,.068,.618,.732,.418,.250,.000,.533,howardw01
254,Markus Howard,SG,22,DEN,31,176,.386,.307,.089,.119,.040,.059,.693,.355,.333,.417,.250,.333,.400,howarma02
255,Kevin Huerter,SF,23,ATL,74,2188,.454,.459,.109,.136,.136,.079,.541,.530,.663,.485,.505,.467,.389,huertke01
256,Jay Huff,C,23,LAL,4,20,.000,.333,.000,.333,.000,.000,.667,.000,,.000,,,.000,huffja01
257,Elijah Hughes,SG-SF,23,TOT,36,434,.326,.340,.090,.090,.125,.035,.660,.449,.692,.615,.278,.000,.263,hugheel01
257,Elijah Hughes,SF,23,UTA,14,112,.417,.222,.111,.056,.028,.028,.778,.625,.750,1.000,.000,.000,.357,hugheel01
257,Elijah Hughes,SG,23,POR,22,322,.296,.380,.083,.102,.157,.037,.620,.415,.667,.545,.294,.000,.224,hugheel01
258,Feron Hunt,SF,22,NYK,2,8,.000,1.000,1.000,.000,.000,.000,.000,.000,.000,,,,,huntfe01
259,De'Andre Hunter,SF,24,ATL,53,1577,.442,.661,.219,.179,.153,.110,.339,.474,.651,.398,.409,.333,.379,huntede01
260,Chandler Hutchison,SF,25,PHO,6,22,.500,1.000,.500,.500,.000,.000,.000,.500,.000,1.000,,,,hutchch01
261,Bones Hyland,SG,21,DEN,69,1310,.403,.373,.123,.130,.072,.049,.627,.465,.700,.284,.341,.536,.366,hylanbo01
262,Serge Ibaka,C,32,TOT,54,877,.500,.666,.193,.274,.105,.095,.334,.563,.789,.506,.516,.321,.374,ibakase01
262,Serge Ibaka,C,32,LAC,35,538,.490,.677,.182,.271,.120,.104,.323,.538,.743,.519,.435,.350,.387,ibakase01
262,Serge Ibaka,C,32,MIL,19,339,.519,.644,.212,.279,.077,.077,.356,.612,.864,.483,.750,.250,.351,ibakase01
263,Andre Iguodala,SF,38,GSW,31,603,.380,.388,.207,.116,.025,.041,.612,.617,.760,.571,.000,.400,.230,iguodan01
264,Joe Ingles,SF,34,UTA,45,1122,.404,.211,.039,.147,.014,.011,.789,.617,.818,.619,.250,.333,.347,inglejo01
265,Brandon Ingram,SF,24,NOP,55,1869,.461,.770,.140,.152,.249,.229,.230,.501,.681,.436,.506,.427,.327,ingrabr01
266,Kyrie Irving,PG,29,BRK,29,1091,.469,.612,.093,.188,.203,.128,.388,.501,.702,.543,.432,.405,.418,irvinky01
267,Wes Iwundu,SF,27,ATL,3,82,.444,.722,.278,.167,.111,.167,.278,.385,.400,.333,.000,.667,.600,iwundwe01
268,Frank Jackson,PG,23,DET,53,1164,.402,.422,.166,.159,.068,.029,.578,.529,.725,.338,.515,.500,.308,jacksfr01
269,Isaiah Jackson,PF,20,IND,36,541,.563,.922,.621,.218,.053,.029,.078,.584,.680,.444,.182,.333,.313,jacksis01
270,Jaren Jackson Jr.,PF,22,MEM,78,2126,.415,.613,.218,.335,.055,.005,.387,.476,.615,.395,.421,.400,.319,jacksja02
271,Josh Jackson,SF,24,TOT,51,830,.400,.567,.243,.170,.060,.093,.433,.512,.712,.392,.389,.286,.254,jacksjo02
271,Josh Jackson,SF,24,DET,39,707,.410,.550,.243,.163,.056,.088,.450,.529,.721,.390,.429,.318,.265,jacksjo02
271,Josh Jackson,SF,24,SAC,12,123,.347,.653,.245,.204,.082,.122,.347,.438,.667,.400,.250,.167,.176,jacksjo02
272,Justin Jackson,SF,26,TOT,7,37,.333,.400,.000,.200,.067,.133,.600,.333,,.667,.000,.000,.333,jacksju01
272,Justin Jackson,SF,26,BOS,1,2,.000,1.000,.000,.000,.000,1.000,.000,.000,,,,.000,,jacksju01
272,Justin Jackson,SF,26,PHO,6,35,.357,.357,.000,.214,.071,.071,.643,.400,,.667,.000,.000,.333,jacksju01
273,Reggie Jackson,SG,31,LAC,75,2337,.392,.581,.145,.190,.106,.140,.419,.439,.627,.444,.354,.304,.326,jacksre01
274,LeBron James,PF,37,LAL,56,2084,.524,.633,.325,.141,.073,.094,.367,.620,.796,.465,.382,.426,.359,jamesle01
275,DeJon Jarreau,SG,24,IND,1,1,,,,,,,,,,,,,,jarrede01
276,DaQuan Jeffries,SG,24,MEM,3,9,.500,.500,.500,.000,.000,.000,.500,1.000,1.000,,,,.000,jeffrda01
277,Ty Jerome,SG,24,OKC,48,801,.378,.433,.070,.235,.113,.015,.567,.493,.478,.481,.568,.200,.290,jeromty01
278,Isaiah Joe,SG,22,PHI,55,609,.350,.237,.079,.034,.045,.079,.763,.405,.643,.333,.375,.214,.333,joeis01
279,Alize Johnson,PF,25,TOT,23,167,.436,.897,.564,.282,.051,.000,.103,.486,.500,.455,.500,,.000,johnsal02
279,Alize Johnson,PF,25,CHI,16,121,.522,.913,.478,.391,.043,.000,.087,.571,.636,.556,.000,,.000,johnsal02
279,Alize Johnson,PF,25,WAS,3,18,.333,.667,.667,.000,.000,.000,.333,.500,.500,,,,.000,johnsal02
279,Alize Johnson,PF,25,NOP,4,28,.300,1.000,.700,.200,.100,.000,.000,.300,.286,.000,1.000,,,johnsal02
280,B.J. Johnson,SF,26,ORL,4,65,.440,.600,.200,.080,.120,.200,.400,.467,.400,.000,.667,.600,.400,johnsbj01
281,Cameron Johnson,PF,25,PHO,66,1730,.460,.356,.127,.147,.041,.041,.644,.523,.766,.483,.240,.200,.425,johnsca02
282,David Johnson,SG,20,TOR,2,2,.000,.000,.000,.000,.000,.000,1.000,,,,,,.000,johnsda08
283,Jalen Johnson,PF,20,ATL,22,120,.537,.683,.488,.073,.073,.049,.317,.679,.950,.000,.000,.000,.231,johnsja05
284,James Johnson,PF,34,BRK,62,1191,.469,.723,.476,.192,.033,.023,.277,.545,.651,.390,.200,.143,.271,johnsja01
285,Joe Johnson,SG,40,BOS,1,2,1.000,1.000,.000,.000,.000,1.000,.000,1.000,,,,1.000,,johnsjo02
286,Keldon Johnson,SF,22,SAS,75,2392,.466,.605,.218,.295,.064,.029,.395,.510,.645,.450,.369,.414,.398,johnske04
287,Keon Johnson,SG,19,TOT,37,697,.353,.632,.276,.188,.103,.066,.368,.360,.507,.353,.214,.000,.340,johnske07
287,Keon Johnson,SG,19,LAC,15,135,.333,.784,.294,.255,.098,.137,.216,.350,.600,.308,.200,.000,.273,johnske07
287,Keon Johnson,SG,19,POR,22,562,.357,.597,.271,.172,.104,.050,.403,.364,.483,.368,.217,.000,.348,johnske07
288,Stanley Johnson,PF,25,LAL,48,1094,.466,.582,.243,.215,.088,.036,.418,.575,.738,.370,.682,.444,.314,johnsst04
289,Tyler Johnson,PG,29,TOT,6,91,.300,.350,.000,.000,.150,.200,.650,.143,,,.000,.250,.385,johnsty01
289,Tyler Johnson,PG,29,PHI,3,38,.400,.300,.000,.000,.100,.200,.700,.333,,,.000,.500,.429,johnsty01
289,Tyler Johnson,PG,29,SAS,3,53,.200,.400,.000,.000,.200,.200,.600,.000,,,.000,.000,.333,johnsty01
290,Nikola Jokic,C,26,DEN,74,2476,.583,.780,.268,.384,.082,.046,.220,.652,.776,.606,.565,.467,.337,jokicni01
291,Carlik Jones,PG,24,TOT,5,23,.111,.889,.333,.111,.333,.111,.111,.125,.333,.000,.000,.000,.000,jonesca03
291,Carlik Jones,PG,24,DAL,3,19,.000,.857,.286,.143,.429,.000,.143,.000,.000,.000,.000,,.000,jonesca03
291,Carlik Jones,PG,24,DEN,2,4,.500,1.000,.500,.000,.000,.500,.000,.500,1.000,,,.000,,jonesca03
292,Damian Jones,C,26,SAC,56,1017,.658,.891,.489,.241,.060,.102,.109,.696,.877,.469,.438,.519,.345,jonesda03
293,Derrick Jones Jr.,PF,24,CHI,51,899,.538,.687,.549,.128,.005,.005,.313,.634,.701,.320,1.000,1.000,.328,jonesde02
294,Herbert Jones,PF,23,NOP,78,2335,.476,.707,.413,.205,.016,.073,.293,.533,.685,.288,.444,.381,.337,joneshe01
295,Jemerrio Jones,SF,26,LAL,2,15,.667,1.000,.667,.333,.000,.000,.000,.667,1.000,.000,,,,jonesje01
296,Kai Jones,C,21,CHO,21,63,.643,.857,.500,.214,.071,.071,.143,.667,1.000,.333,.000,.000,.500,joneska01
297,Mason Jones,SG,23,LAL,4,51,.467,.733,.267,.400,.067,.000,.267,.545,.750,.500,.000,,.250,jonesma05
298,Tre Jones,PG,22,SAS,69,1148,.490,.850,.307,.307,.201,.035,.150,.542,.615,.500,.485,.583,.196,jonestr01
299,Tyus Jones,PG,25,MEM,73,1549,.451,.629,.100,.241,.243,.045,.371,.487,.600,.496,.455,.360,.390,jonesty01
300,DeAndre Jordan,C,33,TOT,48,622,.643,1.000,.818,.168,.007,.007,.000,.643,.701,.417,.000,.000,,jordade01
300,DeAndre Jordan,C,33,LAL,32,408,.674,1.000,.798,.191,.000,.011,.000,.674,.746,.412,,.000,,jordade01
300,DeAndre Jordan,C,33,PHI,16,214,.593,1.000,.852,.130,.019,.000,.000,.593,.630,.429,.000,,,jordade01
301,Cory Joseph,PG,30,DET,65,1600,.445,.608,.220,.210,.065,.113,.393,.465,.614,.429,.346,.311,.414,josepco01
